ID;age;driving.exp.years;kilometers.per.year;lifetime.kilometers
P01;29;10;15000;120000
P02;30;12;5500;200000
P03;27;9;5000;50000
P04;20;2.4;15000;50000
P05;28;10;1000;10000
P06;20;3;350;1000
P07;22;5;200;10000
P08;19;.9;30000;70000
P09;24;4;5000;25000
P10;24;5;4000;40000
P11;29;5.5;1000;5000
P12;23;6;12500;55000
P13;25;4;2000;10000
P14;32;14;2000;40000
P15;25;7;6500;35000
P16;22;4; ; 
P17;24;5; ; 
P18;31;13;7500;110000
P19;26;8.5;12500;100000
P20;22;4;3000;12000
P21;22;3;1000;100000
P22;21;3;3000;25000
P23;24;6;1500;15000
P24;23;6;1000;20000
P25;27;8;10000;100000
P26;26;8; ;17500
P27;42;24;19500;400000
P28;20;2.9;1000;10000
P29;20;2.5;1500;5000
P30;26;8;100;100000
