id;drive;speed.kmh;occ_nr;off;OT;TLC;FADE1.TLC.min;last_OT;last_FADE0.off.abs;steer.ampl;true.TLC.1.0;off.sd.avg.100.so;ratio_OT_TLC
P01;MO_60;60;1;-.530849;2.032222;6.332222;8.5;2.146507;.797099;3.33225;0;.331582572862225;.320933473273679
P01;MO_60;60;2;.341331;1.113885;4.213885;4.6;2.032222;.530849;1.30005;0;.331582572862225;.264336829315465
P01;MO_60;60;3;.934919;1.009834;8.909834;12.8;1.113885;.341331;1.30005;0;.331582572862225;.11333926086614
P01;MO_60;60;4;.497099;1.419549;5.219549;5.7;1.009834;.934919;3.11265;0;.331582572862225;.271967750470395
P01;MO_60;60;5;-.57635;1.415975;10.015975;3.9;1.419549;.497099;4.21605;0;.331582572862225;.141371658775107
P01;MO_60;60;6;-.658853;1.416772;9.016772;6.7;1.415975;.57635;3.00735;0;.331582572862225;.157126297526432
P01;MO_60;60;7;-.20505;1.415729;8.815729;8.9;1.416772;.658853;.29295;0;.331582572862225;.160591256831965
P01;MO_60;60;8;.231638;2.031345;14.031345;18.3;1.415729;.20505;.60435;0;.331582572862225;.144771937401582
P01;MO_60;60;9;.170763;2.124003;1000002.124003;13.9;2.031345;.231638;.8973;0;.331582572862225;2.12399848862084E-06
P01;MO_60;60;10;.197419;2.630646;10.630646;17.1;2.124003;.170763;.36585;0;.331582572862225;.247458715114773
P01;MO_60;60;11;.173494;2.939312;10.539312;23.7;2.630646;.197419;.8973;0;.331582572862225;.278890310866592
P01;MO_60;60;12;-.674638;2.943016;5.543016;7.7;2.939312;.173494;.4581;0;.331582572862225;.530941278177801
P01;MO_60;60;13;-1.01757;1.312912;8.412912;2.2;2.943016;.674638;3.2454;0;.331582572862225;.156059162392285
P01;MO_60;60;14;-.456703;1.62318;9.02318;6.1;1.312912;1.01757;3.1725;0;.331582572862225;.179890016601686
P01;MO_60;60;15;.175052;1.922249;16.422249;31.9;1.62318;.456703;.7506;0;.331582572862225;.117051507378801
P01;MO_60;60;16;.163396;2.529003;11.129003;11.5;1.922249;.175052;.45765;0;.331582572862225;.227244345248177
P01;MO_60;60;17;-.703984;3.030342;5.130342;7.7;2.529003;.163396;.22005;0;.331582572862225;.590670563482902
P01;MO_60;60;18;-1.044728;1.11288099999999;7.21288099999999;10.1;3.030342;.703984;1.44675;0;.331582572862225;.154290775073094
P01;MO_60;60;19;-.587743;1.119965;7.819965;5.9;1.11288099999999;1.044728;2.69595;0;.331582572862225;.143218671694822
P01;MO_60;60;20;.025363;2.325184;9.125184;16;1.119965;.587743;.76905;0;.331582572862225;.254809546854069
P01;MO_60;60;21;-.355709;1.72135900000001;5.92135900000001;6.6;2.325184;.025363;.69615;0;.331582572862225;.290703367250661
P01;MO_60;60;22;-.769961;1.211861;11.111861;4.8;1.72135900000001;.355709;1.9593;0;.331582572862225;.109060129531858
