ID;age;gender;driving.experience.years;km.per.year;lifetime.km
1;34;2;17;5000;90000
2;25;1;6;7000;10000
3;34;2;16;8000;45000
4;31;1;13;27000;500000
5;23;1;5;1000;50000
6;37;1;19;25000;400000
7;23;2;5;10000;50000
8;21;2;3;10000;25000
9;21;1;3;35000;150000
10;21;1;3;25000;85000
11;65;2;44;10000;200000
12;25;1;7;10000;60000
13;21;1;3;20000;60000
14;35;1;17;12000;204000
15;20;1;2;15000;30000
16;25;1;8;15000;150000
17;31;1;14;10000;135000
18;37;1;20;10000;400000
19;25;2;7;100;10000
20;28;1;10;7000;60000
21;30;2;9;4000;20000
22;45;1;27;25000;750000
23;42;1;22;12000;800000
24;36;2;18;7000;70000
25;40;2;23;60000;1200000
26;21;1;3;10000;80000
27;23;2;5;50000;200000
28;30;2;11;350;16000
29;26;2;8;2500;50000
30;22;2;5;700;3000
31;37;2;19;12500;250000
32;34;2;16;10000;150000
