id,OT,occ_total,l_exc_occ,l_exc_nonocc,steering_amp,TLC_model_ALL,TLC_before_occ,TLC_after_occ,OTTLC,occ_per_10sec,l_exc_10sec,speed,group,filter_$
1,2.689,18,0,0,.001,9.185,11.795,7.355,10.044,3,0,1,1, 
2,2.75,18,0,0,.001,9.592,8.371,8.172,10.922,3,0,1,1, 
3,2.706,18,0,0,.001,10.006,12.553,8.231,10.937,3,0,1,1, 
4,2.694,18,0,0,.001,9.278,6.947,12.698,15.392,3,0,1,1, 
5,2.717,18,0,0,.001,10.145,8.599,10.146,12.863,3,0,1,1, 
6,2.678,18,1,0,.001,9.089,10.054,10.039,12.717,3,.166666666666667,1,1, 
7,2.683,18,0,0,.001,9.585,6.565,11.866,14.549,3,0,1,1, 
8,2.694,18,0,0,.001,9.468,7.494,14.192,16.886,3,0,1,1, 
9,2.632,19,0,0,.001,8.807,5.897,8.026,10.658,3.16666666666667,0,1,1, 
10,2.7,18,0,0,.001,9.499,11.029,12.341,15.041,3,0,1,1, 
11,2.689,18,0,0,.001,9.67,9.258,8.978,11.667,3,0,1,1, 
12,2.683,18,0,0,.001,10.149,14.282,9.02,11.703,3,0,1,1, 
13,2.706,18,0,0,.001,9.231,11.172,11.769,14.475,3,0,1,1, 
14,2.694,18,0,0,.001,9.067,6.214,9.253,11.947,3,0,1,1, 
15,2.633,18,0,0,.001,9.199,9.879,9.084,11.717,3,0,1,1, 
16,2.706,18,0,0,.001,9.359,14.725,8.547,11.253,3,0,1,1, 
17,2.712,18,0,0,.001,9.527,11.707,12.013,14.725,3,0,1,1, 
18,2.778,18,0,0,.001,9.891,15.762,9.506,12.284,3,0,1,1, 
19,2.689,18,0,0,.001,9.369,7.452,10.17,12.859,3,0,1,1, 
20,2.694,18,0,0,.001,9.607,7.509,13.519,16.213,3,0,1,1, 
21,2.711,18,0,0,.001,9.614,7.545,8.723,11.434,3,0,1,1, 
22,2.672,18,0,0,.001,8.928,11.239,13.029,15.701,3,0,1,1, 
23,2.722,18,0,0,.001,9.252,6.964,9.375,12.097,3,0,1,1, 
24,2.717,18,0,0,.001,9.164,15.638,9.857,12.574,3,0,1,1, 
25,2.717,18,1,0,.001,9.398,10.406,10.546,13.263,3,.166666666666667,1,1, 
26,2.756,18,0,1,.001,9.229,8.058,12.506,15.262,3,0,1,1, 
27,2.7,18,0,0,.001,9.292,6.388,12.53,15.23,3,0,1,1, 
28,2.632,19,0,0,.001,9.31,5.705,12.748,15.38,3.16666666666667,0,1,1, 
