"t","id","drive","speed.kmh","occ_nr","x","y","yaw","steer","off","speed","leftTLC","rightTLC","report","OT","OTTLC","true.TLC","FADE1.leftTLC","FADE1.rightTLC","FADE1.off","FADE1.TLC.min","FADE0.TLC.min","steer.ampl","steer.min","steer.max","steer.avg","steer.sd","offset.min","offset.max","offset.avg","offset.sd"
13.151443,"P01","Occ_MO_1.2",100,1,5765.777832,8312.948242,-100.740921,-0.012451,0.571028,27.3894,11.4,8.6,"{""type"":""M"",""msg"":""FADE0"",""time"":13.0583,""dist"":0.198999}",0.403159,9.003159,0,9,6.8,0.471993,6.8,8.6,0.002848,-0.015299,-0.012451,-0.0135498,0.00137504298114641,0.471993,0.571028,0.5242142,0.0391225427688436
13.961686,"P01","Occ_MO_1.2",100,2,5761.414551,8291.068359,-101.997185,-0.01359,0.652983,27.6026,8.7,6.3,"{""type"":""M"",""msg"":""FADE0"",""time"":13.9081,""dist"":0.222376}",0.303884,6.603884,0,9.9,7.3,0.639703,7.3,6.3,0.000650999999999999,-0.01359,-0.012939,-0.01326475,0.000265769793869305,0.639703,0.652983,0.6476225,0.00592941618823752
14.773736,"P01","Occ_MO_1.2",100,3,5756.526367,8269.163086,-103.332039,-0.012451,0.559124,27.6543,8,5.3,"{""type"":""M"",""msg"":""FADE0"",""time"":14.7,""dist"":0.244263}",0.305271999999999,5.605272,0,7.8,5.4,0.616977,5.4,5.3,0.001139,-0.01359,-0.012451,-0.013224,0.000537625024219173,0.559124,0.616977,0.58946875,0.024926127769538
15.884655,"P01","Occ_MO_1.2",100,4,5749.121094,8239.282227,-104.398781,-0.005208,0.26273,27.7435,9.1,13,"{""type"":""M"",""msg"":""FADE0"",""time"":15.8215,""dist"":0.275335}",0.606849,9.706849,0,22.7,28.4,0.41914,22.7,9.1,0.001831,-0.007039,-0.005208,-0.00549285714285714,0.000684485799358767,0.26273,0.41914,0.336383857142857,0.0565018285173987
17.297897,"P01","Occ_MO_1.2",100,5,5739.080078,8201.339844,-105.26725,-0.004557,0.154005,27.775,5.5,9,"{""type"":""M"",""msg"":""FADE0"",""time"":17.2925,""dist"":0.316187}",0.908425999999999,6.408426,0,7.4,11.1,0.180461,7.4,5.5,0.000163,-0.00472,-0.004557,-0.0045733,5.15451258607446e-05,0.143572,0.180461,0.154888,0.0119748016638644
19.022585,"P01","Occ_MO_1.2",100,6,5726.030762,8155.230957,-106.41198,-0.005371,0.549277,27.7779,2.6,6.7,"{""type"":""M"",""msg"":""FADE0"",""time"":18.9803,""dist"":0.363081}",1.218758,3.818758,0,4.9,8.9,0.214993,4.9,2.6,0.000163,-0.005371,-0.005208,-0.00533338461538462,7.14802285735229e-05,0.214993,0.549277,0.363403,0.109340528211943
20.132526,"P01","Occ_MO_1.2",100,7,5716.992676,8125.74707,-108.224754,-0.017456,0.886505,27.7762,6.9,5.2,"{""type"":""M"",""msg"":""FADE0"",""time"":20.0649,""dist"":0.393218}",0.605851999999999,5.805852,0,7.5,5.8,0.751499,5.8,5.2,0.001546,-0.019002,-0.017456,-0.0178631428571429,0.000552791530498141,0.751499,0.886505,0.833543571428571,0.0500808875016446
21.549726,"P01","Occ_MO_1.2",100,8,5703.847168,8088.631836,-110.760674,-0.011434,0.483977,27.7784,6.8,4.1,"{""type"":""M"",""msg"":""FADE0"",""time"":21.4921,""dist"":0.432874}",0.913795,5.013795,0,6.2,4.4,0.83904,4.4,4.1,0.005208,-0.016642,-0.011434,-0.0131712,0.00151514860290629,0.483977,0.83904,0.6797728,0.120852834719477
23.876284,"P01","Occ_MO_1.2",100,9,5680.393066,8028.390137,-111.724289,-0.00354,-0.00089,27.778,4.9,7.9,"{""type"":""M"",""msg"":""FADE0"",""time"":23.7808,""dist"":0.49647}",1.820757,6.720757,0,5.2,7.2,0.218664,5.2,4.9,0.006846,-0.004191,0.002655,-0.00190705263157895,0.00224108528950904,-0.043627,0.218664,0.0200162105263158,0.0788409249886398
27.013449,"P01","Occ_MO_1.2",100,10,5645.880859,7948.364258,-115.537811,-0.01359,0.310561,27.7771,7.1,4.5,"{""type"":""M"",""msg"":""FADE0"",""time"":26.9299,""dist"":0.583968}",2.633375,7.133375,0,27.4,20.5,0.099448,20.5,4.5,0.004353,-0.01359,-0.009237,-0.0108823703703704,0.00135576947065121,0.099448,0.369911,0.289948444444444,0.0835789671132513
