"t","id","drive","speed.kmh","occ_nr","x","y","yaw","steer","off","speed","leftTLC","rightTLC","report","OT","OTTLC","true.TLC","FADE1.leftTLC","FADE1.rightTLC","FADE1.off","FADE1.TLC.min","FADE0.TLC.min","steer.ampl","steer.min","steer.max","steer.avg","steer.sd","offset.min","offset.max","offset.avg","offset.sd","last_OT","last_FADE0.off"
19.689926,"P01","SO_1.2",100,1,5719.289062,8137.726562,-109.367996,-0.015299,-0.668807,27.7775,3.3,1,"{""type"":""M"",""msg"":""FADE0"",""time"":19.6152,""dist"":0.380819}",3.23291,4.23291,0,13.6,9.3,0.247544,9.3,1,0.005045,-0.015299,-0.010254,-0.0123931515151515,0.00150341295310894,-0.668807,0.253171,-0.0187818787878788,0.286373963402288,NA,NA
20.501961,"P01","SO_1.2",100,2,5712.443848,8117.147949,-110.616951,-0.019491,-0.752089,27.7764,2.5,0.6,"{""type"":""M"",""msg"":""FADE0"",""time"":20.4502,""dist"":0.403139}",4.044092,4.644092,0,19.3,14.1,0.143672,14.1,0.6,0.011472,-0.020871,-0.009399,-0.0129086829268293,0.00331231525853914,-0.752089,0.238151,0.0119057073170731,0.282074068580067,3.23291,-0.668807
20.336729,"P01","SO_1.2",100,3,5714.915527,8124.670898,-109.771179,-0.010091,-0.777172,27.7776,4.2,0.9,"{""type"":""M"",""msg"":""FADE0"",""time"":20.2614,""dist"":0.394551}",3.73863,4.63863,0,24,16.7,0.122761,16.7,0.9,0.006063,-0.014974,-0.008911,-0.0116008947368421,0.0014980363144567,-0.777172,0.144481,-0.112310315789474,0.280850348576364,4.044092,-0.752089
21.164324,"P01","SO_1.2",100,4,5708.871094,8102.996582,-109.746788,-0.017131,0.465582,27.7768,5.5,3.6,"{""type"":""M"",""msg"":""FADE0"",""time"":21.1355,""dist"":0.41831}",4.54773,8.14773,0,6.7,11.2,-0.139509,6.7,3.6,0.011068,-0.017131,-0.006063,-0.010244152173913,0.00291753485720311,-0.139509,0.540159,0.30531997826087,0.213711720344277,3.73863,-0.777172
21.599689,"P01","SO_1.2",100,5,5701.94873,8087.801758,-112.524162,-0.031212,-1.056874,27.7736,1.5,0.1,"{""type"":""M"",""msg"":""FADE0"",""time"":21.561,""dist"":0.434631}",5.150405,5.250405,0,10,13.7,-0.41233,10,0.1,0.025678,-0.031212,-0.005534,-0.0124749423076923,0.00734982379250823,-1.056874,-0.236002,-0.382811269230769,0.17466152886802,4.54773,0.465582
19.628149,"P01","SO_1.2",100,6,5720.882324,8143.304199,-109.033844,-0.01359,-0.846031,27.7777,3.4,0.7,"{""type"":""M"",""msg"":""FADE0"",""time"":19.5667,""dist"":0.375338}",3.031931,3.731931,0,11.3,7.1,0.061244,7.1,0.7,0.005737,-0.015299,-0.009562,-0.0118813870967742,0.00150193774121787,-0.846031,0.061244,-0.250656193548387,0.277814477781417,5.150405,-1.056874
21.119846,"P01","SO_1.2",100,7,5706.289062,8107.200684,-112.435852,-0.016317,0.347751,27.777,-0.504642,-1.817878,"{""type"":""M"",""msg"":""FADE0"",""time"":21.058,""dist"":0.414252}",4.447487,2.629609,2.629609,7.7,4.9,0.215064,4.9,-1.817878,0.009888,-0.018636,-0.008748,-0.0141158444444444,0.00243502276408582,-1.765173,1.861937,-0.0606396,0.929516267164941,3.031931,-0.846031
20.432165,"P01","SO_1.2",100,8,5718.998047,8137.540527,-109.439484,-0.012777,-0.890628,27.7782,3.3,0.5,"{""type"":""M"",""msg"":""FADE0"",""time"":20.3902,""dist"":0.381939}",3.23485,3.73485,0,7.8,5.4,0.201082,5.4,0.5,0.008911,-0.016805,-0.007894,-0.0129148181818182,0.0022123464700198,-0.890628,0.216832,-0.118616515151515,0.348663605491931,4.447487,0.347751
21.325628,"P01","SO_1.2",100,9,5712.609863,8113.053711,-108.384087,-0.00472,0.760963,27.7781,2.5,7.1,"{""type"":""M"",""msg"":""FADE0"",""time"":21.2372,""dist"":0.405923}",4.138181,6.638181,0,8,12.6,-0.234309,8,2.5,0.014811,-0.015299,-0.000488,-0.00798109523809524,0.00295917548511137,-0.234309,0.760963,0.27973380952381,0.331914964968603,3.23485,-0.890628
21.924324,"P01","SO_1.2",100,10,5699.86084,8082.414062,-112.393173,-0.020871,-1.188136,27.7771,1.8,0,"{""type"":""M"",""msg"":""FADE0"",""time"":21.8982,""dist"":0.440765}",5.359249,5.359249,5.359249,13.5,8.6,-0.195403,8.6,0,0.017656,-0.020871,-0.003215,-0.0122743518518519,0.00476327678222178,-1.188136,0.027922,-0.217737981481481,0.294206869178205,4.138181,0.760963
