subject_id,category,n_rows,percent,source_file
P02,Speed,2699,15.714701601164483,P02_AoI_ratios.csv
P02,Lane,5193,30.23580786026201,P02_AoI_ratios.csv
P02,None,9283,54.04949053857351,P02_AoI_ratios.csv
P03,Speed,2196,14.604948124501195,P03_AoI_ratios.csv
P03,Lane,4439,29.522479382814577,P03_AoI_ratios.csv
P03,None,8401,55.87257249268423,P03_AoI_ratios.csv
P04,Speed,1678,11.503393432508398,P04_AoI_ratios.csv
P04,Lane,4993,34.229108109960926,P04_AoI_ratios.csv
P04,None,7916,54.26749845753068,P04_AoI_ratios.csv
P05,Speed,3002,15.458290422245108,P05_AoI_ratios.csv
P05,Lane,6564,33.800205973223484,P05_AoI_ratios.csv
P05,None,9854,50.74150360453141,P05_AoI_ratios.csv
P06,Speed,872,5.136663524976437,P06_AoI_ratios.csv
P06,Lane,2983,17.57186616399623,P06_AoI_ratios.csv
P06,None,13121,77.29147031102734,P06_AoI_ratios.csv
P07,Speed,1309,8.597136477078681,P07_AoI_ratios.csv
P07,Lane,4217,27.69604623670038,P07_AoI_ratios.csv
P07,None,9700,63.70681728622094,P07_AoI_ratios.csv
P08,Speed,1638,12,P08_AoI_ratios.csv
P08,Lane,3878,28.41025641025641,P08_AoI_ratios.csv
P08,None,8134,59.58974358974359,P08_AoI_ratios.csv
P09,Speed,1027,4.907066749486359,P09_AoI_ratios.csv
P09,Lane,5582,26.671126188542218,P09_AoI_ratios.csv
P09,None,14320,68.42180706197142,P09_AoI_ratios.csv
P10,Speed,1892,9.101404656532615,P10_AoI_ratios.csv
P10,Lane,4516,21.724071579757553,P10_AoI_ratios.csv
P10,None,14380,69.17452376370983,P10_AoI_ratios.csv
P11,Speed,1844,9.23477564102564,P11_AoI_ratios.csv
P11,Lane,5800,29.04647435897436,P11_AoI_ratios.csv
P11,None,12324,61.71875,P11_AoI_ratios.csv
P12,Speed,4466,26.324786324786324,P12_AoI_ratios.csv
P12,Lane,6695,39.46360153256705,P12_AoI_ratios.csv
P12,None,5804,34.21161214264662,P12_AoI_ratios.csv
P13,Speed,2146,15.105229816287746,P13_AoI_ratios.csv
P13,Lane,4452,31.336665024283803,P13_AoI_ratios.csv
P13,None,7609,53.55810515942845,P13_AoI_ratios.csv
P14,Speed,1474,6.993073346617326,P14_AoI_ratios.csv
P14,Lane,9604,45.56409526520543,P14_AoI_ratios.csv
P14,None,10000,47.44283138817725,P14_AoI_ratios.csv
P15,Speed,1479,7.967891391013899,P15_AoI_ratios.csv
P15,Lane,7127,38.395647020795174,P15_AoI_ratios.csv
P15,None,9956,53.636461588190926,P15_AoI_ratios.csv
P16,Speed,604,3.8172280856980345,P16_AoI_ratios.csv
P16,Lane,3820,24.142071667825316,P16_AoI_ratios.csv
P16,None,11399,72.04070024647665,P16_AoI_ratios.csv
P17,Speed,877,7.0960433692046285,P17_AoI_ratios.csv
P17,Lane,2615,21.15866979529088,P17_AoI_ratios.csv
P17,None,8867,71.74528683550449,P17_AoI_ratios.csv
P18,Speed,1981,10.763964355574876,P18_AoI_ratios.csv
P18,Lane,5762,31.30841121495327,P18_AoI_ratios.csv
P18,None,10661,57.927624429471855,P18_AoI_ratios.csv
P19,Speed,3885,20.997729975137823,P19_AoI_ratios.csv
P19,Lane,5892,31.845205923683928,P19_AoI_ratios.csv
P19,None,8725,47.15706410117825,P19_AoI_ratios.csv
P20,Speed,1579,9.382055852644088,P20_AoI_ratios.csv
P20,Lane,4410,26.203208556149733,P20_AoI_ratios.csv
P20,None,10841,64.41473559120618,P20_AoI_ratios.csv
P21,Speed,2543,16.811000198320883,P21_AoI_ratios.csv
P21,Lane,4674,30.89839360084617,P21_AoI_ratios.csv
P21,None,7910,52.29060620083295,P21_AoI_ratios.csv
P22,Speed,1435,8.34593462835873,P22_AoI_ratios.csv
P22,Lane,4983,28.981039897638713,P22_AoI_ratios.csv
P22,None,10776,62.67302547400256,P22_AoI_ratios.csv
P23,Speed,3280,15.06383760448241,P23_AoI_ratios.csv
P23,Lane,7684,35.289795168549645,P23_AoI_ratios.csv
P23,None,10810,49.646367226967946,P23_AoI_ratios.csv
P24,Speed,4779,21.99263690750115,P24_AoI_ratios.csv
P24,Lane,4227,19.45236999539807,P24_AoI_ratios.csv
P24,None,12724,58.554993097100784,P24_AoI_ratios.csv
P25,Speed,885,6.103869232360853,P25_AoI_ratios.csv
P25,Lane,3397,23.429202013931995,P25_AoI_ratios.csv
P25,None,10217,70.46692875370715,P25_AoI_ratios.csv
P26,Speed,6239,27.700572747857745,P26_AoI_ratios.csv
P26,Lane,6367,28.268880699729166,P26_AoI_ratios.csv
P26,None,9917,44.03054655241309,P26_AoI_ratios.csv
P27,Speed,1971,14.0625,P27_AoI_ratios.csv
P27,Lane,3364,24.001141552511417,P27_AoI_ratios.csv
P27,None,8681,61.93635844748859,P27_AoI_ratios.csv
P28,Speed,1480,10.55559517866058,P28_AoI_ratios.csv
P28,Lane,4249,30.304543185222165,P28_AoI_ratios.csv
P28,None,8292,59.13986163611725,P28_AoI_ratios.csv
