"t","id","drive","speed.kmh","occ_nr","x","y","yaw","steer","off","speed","speed.min","speed.max","mean_speed_kmh","median_speed_kmh","leftTLC","rightTLC","report","OT","OTTLC","true.TLC","FADE1.leftTLC","FADE1.rightTLC","FADE1.off","FADE1.speed","FADE1.TLC.min","FADE0.TLC.min","steer.ampl","steer.min","steer.max","steer.avg","steer.sd","offset.min","offset.max","offset.avg","offset.sd","occluded_now","deviation_counting_active","speed_oob_now","speed_deviation_event","occ_speed_deviation_event","vis_speed_deviation_event","total_speed_deviation_event_total","occ_speed_deviation_event_total","vis_speed_deviation_event_total","lane_oob_now","lane_deviation_event","occ_lane_deviation_event","vis_lane_deviation_event","total_lane_deviation_event_total","occ_lane_deviation_event_total","vis_lane_deviation_event_total"
46.673828,"P01","1.2.1_occon_110_mo_01_ch",99.22392,1,5760.11084,8271.427734,-102.907372,-0.013957,0.502754,27.5622,27.5532,27.5622,104.898136801769,105.0102,6.2,3.9,"{""type"":""M"",""msg"":""FADE0"",""time"":46.6556,""dist"":0.243033}",0.101036000000001,4.001036,0,5.7,3.7,0.542196,27.5532,3.7,3.9,0.001994,-0.015951,-0.013957,-0.014954,0.00140997092168598,0.502754,0.542196,0.522475,0.0278897056635598,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0
47.580856,"P01","1.2.1_occon_110_mo_01_ch",100.50732,2,5754.29834,8247.114258,-103.999191,-0.007894,0.063035,27.9187,27.6081,27.9187,104.898136801769,105.0102,15.1,4.9,"{""type"":""M"",""msg"":""FADE0"",""time"":47.4818,""dist"":0.265784}",0.403117999999999,5.303118,0,10.2,5,0.26602,27.6081,5,4.9,0.000854000000000001,-0.008748,-0.007894,-0.0085772,0.000381920410556964,0.063035,0.26602,0.1647908,0.0802473870023193,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0
48.289906,"P01","1.2.1_occon_110_mo_01_ch",102.7224,3,5749.394043,8227.681641,-104.081482,-0.000488,-0.230941,28.534,28.3972,28.534,104.898136801769,105.0102,5.3,7.4,"{""type"":""M"",""msg"":""FADE0"",""time"":48.2193,""dist"":0.286566}",0.304238000000005,5.604238,0,4.7,6.4,-0.133958,28.3972,4.7,5.3,0.006317,-0.000488,0.005829,0.0029985,0.00273060463389826,-0.230941,-0.133958,-0.18568875,0.0418857259168721,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0
49.097664,"P01","1.2.1_occon_110_mo_01_ch",104.31792,4,5743.711426,8205.199219,-104.281281,-0.002035,-0.240244,28.9772,28.8032,28.9772,104.898136801769,105.0102,4.3,6.6,"{""type"":""M"",""msg"":""FADE0"",""time"":49.0026,""dist"":0.309016}",0.302776000000001,4.602776,0,4.9,7.1,-0.273507,28.8032,4.9,4.3,0.000204,-0.002035,-0.001831,-0.001984,0.000102,-0.273507,-0.240244,-0.25909875,0.0145036499860093,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0
50.11248,"P01","1.2.1_occon_110_mo_01_ch",106.82532,5,5736.275391,8176.420898,-104.763107,-0.004883,0.113656,29.6737,29.3005,29.6737,104.898136801769,105.0102,2.9,5.7,"{""type"":""M"",""msg"":""FADE0"",""time"":50.0163,""dist"":0.338642}",0.508240000000001,3.40824,0,3.9,6.5,-0.104248,29.3005,3.9,2.9,0.000692,-0.004883,-0.004191,-0.0043335,0.000276982129387439,-0.104248,0.113656,-0.000345333333333327,0.0819309566053434,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0
51.024429,"P01","1.2.1_occon_110_mo_01_ch",109.66428,6,5729.140625,8149.956055,-105.616539,-0.011271,0.660036,30.4623,30.0942,30.4623,104.898136801769,105.0102,1.7,29.1,"{""type"":""M"",""msg"":""FADE0"",""time"":50.9801,""dist"":0.367551}",0.405994,2.105994,0,2.4,6.9,0.402369,30.0942,2.4,1.7,0.00236,-0.011271,-0.008911,-0.009847,0.000974881531264184,0.402369,0.660036,0.5302922,0.101897377079589,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0
51.831642,"P01","1.2.1_occon_110_mo_01_ch",108.8784,7,5722.342773,8126.407227,-106.821373,-0.012939,1.136858,30.244,30.244,30.306,104.898136801769,105.0102,0,14.2,"{""type"":""M"",""msg"":""FADE0"",""time"":51.774,""dist"":0.391667}",0.303046999999999,0.303046999999999,0.303046999999999,0.7,14.8,0.970854,30.306,0.7,0,0,-0.012939,-0.012939,-0.012939,0,0.970854,1.136858,1.055125,0.0713442650346426,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,TRUE,TRUE,FALSE,1,1,0
52.640186,"P01","1.2.1_occon_110_mo_01_ch",107.95212,8,5714.989258,8103.195801,-109.425583,-0.040489,1.349668,29.9867,29.9867,30.0855,104.898136801769,105.0102,-0.808544,2.6,"{""type"":""M"",""msg"":""FADE0"",""time"":52.5743,""dist"":0.415786}",0.304180000000002,-0.504363999999998,0,-0.504364,3.7,1.349535,30.0855,-0.504364,-0.808544,0.007813,-0.040768,-0.032955,-0.038588,0.00376411096187843,1.349535,1.367769,1.3584195,0.01019153774789,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,FALSE,1,1,0
53.446812,"P01","1.2.1_occon_110_mo_01_ch",107.31816,9,5706.452148,8080.671875,-111.947426,-0.009766,0.610134,29.8106,29.8106,29.8572,104.898136801769,105.0102,5,2.7,"{""type"":""M"",""msg"":""FADE0"",""time"":53.4164,""dist"":0.440948}",0.302478999999998,3.002479,0,4.1,2.6,0.973795,29.8572,2.6,2.7,0.005859,-0.015625,-0.009766,-0.011556,0.00273316629570906,0.610134,0.973795,0.79346975,0.156629535176426,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1,1,0
54.456165,"P01","1.2.1_occon_110_mo_01_ch",107.14536,10,5695.185547,8052.860352,-111.8806,0.002655,-0.380231,29.7626,29.7618,29.7709,104.898136801769,105.0102,5.8,7.4,"{""type"":""M"",""msg"":""FADE0"",""time"":54.3683,""dist"":0.469249}",0.501666999999998,6.301667,0,5.8,7.2,0.02402,29.7709,5.8,5.8,0.003174,0.002492,0.005666,0.00357716666666667,0.00140175995329681,-0.380231,0.02402,-0.191106166666667,0.151491550960991,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1,1,0
